 INFO - 2023-02-14 01:11:49,155 - server - Started server process [41660]
 INFO - 2023-02-14 01:11:49,155 - on - Waiting for application startup.
 INFO - 2023-02-14 01:11:49,155 - main - db connection startup
 INFO - 2023-02-14 01:11:49,253 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 01:11:49,253 - on - Application startup complete.
 INFO - 2023-02-14 01:25:38,135 - server - Shutting down
 INFO - 2023-02-14 01:25:38,237 - on - Waiting for application shutdown.
 INFO - 2023-02-14 01:25:38,237 - main - db connection stutdown
 INFO - 2023-02-14 01:25:38,237 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 01:25:38,237 - mongo - MongoDB connection closed
 INFO - 2023-02-14 01:25:38,237 - on - Application shutdown complete.
 INFO - 2023-02-14 01:25:38,238 - server - Finished server process [41660]
 INFO - 2023-02-14 01:25:38,519 - server - Started server process [41812]
 INFO - 2023-02-14 01:25:38,519 - on - Waiting for application startup.
 INFO - 2023-02-14 01:25:38,519 - main - db connection startup
 INFO - 2023-02-14 01:25:38,622 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 01:25:38,622 - on - Application startup complete.
 INFO - 2023-02-14 01:46:29,731 - server - Shutting down
 INFO - 2023-02-14 01:46:29,832 - on - Waiting for application shutdown.
 INFO - 2023-02-14 01:46:29,833 - main - db connection stutdown
 INFO - 2023-02-14 01:46:29,833 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 01:46:29,833 - mongo - MongoDB connection closed
 INFO - 2023-02-14 01:46:29,833 - on - Application shutdown complete.
 INFO - 2023-02-14 01:46:29,833 - server - Finished server process [41812]
 INFO - 2023-02-14 01:46:30,131 - server - Started server process [42041]
 INFO - 2023-02-14 01:46:30,131 - on - Waiting for application startup.
 INFO - 2023-02-14 01:46:30,131 - main - db connection startup
 INFO - 2023-02-14 01:46:30,244 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 01:46:30,244 - on - Application startup complete.
 INFO - 2023-02-14 01:47:07,844 - server - Shutting down
 INFO - 2023-02-14 01:47:07,966 - on - Waiting for application shutdown.
 INFO - 2023-02-14 01:47:07,966 - main - db connection stutdown
 INFO - 2023-02-14 01:47:07,967 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 01:47:07,967 - mongo - MongoDB connection closed
 INFO - 2023-02-14 01:47:07,967 - on - Application shutdown complete.
 INFO - 2023-02-14 01:47:07,968 - server - Finished server process [42041]
 INFO - 2023-02-14 01:47:08,277 - server - Started server process [42070]
 INFO - 2023-02-14 01:47:08,277 - on - Waiting for application startup.
 INFO - 2023-02-14 01:47:08,277 - main - db connection startup
 INFO - 2023-02-14 01:47:08,379 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 01:47:08,380 - on - Application startup complete.
 INFO - 2023-02-14 01:47:40,613 - server - Shutting down
